name,hidden_size,sequence_length,feature_set,model_type,demand_hidden_size,inventory_hidden_size,epochs,batch_size,learning_rate,features,feature_names,parameters,train_sequences,validation_sequences,train_positive_hour_rate,train_seconds,inference_seconds,inference_ms_per_sequence,best_epoch,best_hour_level_accuracy,best_hour_level_precision,best_hour_level_recall,best_hour_level_f1,best_exact_24h_match_rate,best_mean_absolute_hour_count_error,final_hour_level_accuracy,final_hour_level_precision,final_hour_level_recall,final_hour_level_f1,final_exact_24h_match_rate,final_mean_absolute_hour_count_error
baseline_lstm_h96_seq14_all13,96,14,all,baseline,,,10,64,0.001,13,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'activity_flag', 'precpt', 'avg_temperature', 'avg_humidity', 'avg_wind_level', 'hours_sale_sum', 'hours_sale_max', 'hours_stock_status_sum', 'hours_stock_status_mean']",44952,900,225,0.6092592592592593,0.427315415999999,0.004518583000006515,0.02008259111114007,7,0.7905555555555556,0.767260579064588,0.8039673278879813,0.7851851851851852,0.3022222222222222,4.671111111111111,0.7833333333333333,0.7741682974559687,0.7693504472967717,0.7717518532969176,0.27111111111111114,4.888888888888889
compact_lstm_h64_seq14_all13,64,14,all,baseline,,,10,64,0.001,13,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'activity_flag', 'precpt', 'avg_temperature', 'avg_humidity', 'avg_wind_level', 'hours_sale_sum', 'hours_sale_max', 'hours_stock_status_sum', 'hours_stock_status_mean']",21784,900,225,0.6092592592592593,0.3337719999999962,0.0038592500000049768,0.01715222222224434,7,0.7811111111111111,0.7676300578034682,0.7747957992998833,0.7711962833914053,0.22666666666666666,4.7555555555555555,0.7788888888888889,0.7836835599505563,0.7397899649941657,0.7611044417767107,0.2577777777777778,4.9511111111111115
compact_lstm_h32_seq14_all13,32,14,all,baseline,,,10,64,0.001,13,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'activity_flag', 'precpt', 'avg_temperature', 'avg_humidity', 'avg_wind_level', 'hours_sale_sum', 'hours_sale_max', 'hours_stock_status_sum', 'hours_stock_status_mean']",6808,900,225,0.6092592592592593,0.2228935410000048,0.0021765829999935704,0.009673702222193646,10,0.7462962962962963,0.7023929895517358,0.8105795410346169,0.7526182737450343,0.13777777777777778,5.128888888888889,0.7462962962962963,0.7023929895517358,0.8105795410346169,0.7526182737450343,0.13777777777777778,5.128888888888889
compact_lstm_h64_seq10_all13,64,10,all,baseline,,,10,64,0.001,13,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'activity_flag', 'precpt', 'avg_temperature', 'avg_humidity', 'avg_wind_level', 'hours_sale_sum', 'hours_sale_max', 'hours_stock_status_sum', 'hours_stock_status_mean']",21784,960,225,0.6112413194444445,0.2724116249999895,0.0030659159999970598,0.013626293333320267,6,0.7766666666666666,0.7707259024196748,0.7557370672889926,0.7631578947368421,0.2,4.684444444444445,0.7783333333333333,0.8108597285067873,0.6970050563982886,0.7496339677891655,0.28,4.946666666666666
compact_lstm_h64_seq07_all13,64,7,all,baseline,,,10,64,0.001,13,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'activity_flag', 'precpt', 'avg_temperature', 'avg_humidity', 'avg_wind_level', 'hours_sale_sum', 'hours_sale_max', 'hours_stock_status_sum', 'hours_stock_status_mean']",21784,1005,225,0.6091625207296849,0.22852541700000017,0.0023278750000059745,0.010346111111137665,9,0.7872222222222223,0.777734375,0.7744068455853753,0.7760670434613136,0.3022222222222222,4.706666666666667,0.7835185185185185,0.7831179321486268,0.7541812524309607,0.768377253814147,0.28888888888888886,4.751111111111111
feature_reduced_lstm_h64_seq14_f6,64,14,reduced,baseline,,,10,64,0.001,6,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'hours_sale_sum', 'hours_stock_status_sum']",19992,900,225,0.6092592592592593,0.327464875000004,0.0038152500000023792,0.01695666666667724,9,0.7909259259259259,0.7618010167029775,0.8160248930377285,0.787981220657277,0.28444444444444444,4.582222222222223,0.7964814814814815,0.7852713178294574,0.7880202255931544,0.7866433702193749,0.26222222222222225,4.315555555555555
feature_reduced_lstm_h32_seq14_f6,32,14,reduced,baseline,,,10,64,0.001,6,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'hours_sale_sum', 'hours_stock_status_sum']",5912,900,225,0.6092592592592593,0.2212137079999934,0.0021174160000043685,0.009410737777797194,10,0.7938888888888889,0.7678177810433505,0.8129132633216647,0.7897222747024372,0.21333333333333335,4.315555555555555,0.7938888888888889,0.7678177810433505,0.8129132633216647,0.7897222747024372,0.21333333333333335,4.315555555555555
ultra_lstm_h16_seq14_f6,16,14,reduced,baseline,,,10,64,0.001,6,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'hours_sale_sum', 'hours_stock_status_sum']",1944,900,225,0.6092592592592593,0.18808812499999306,0.001600291000002585,0.007112404444455933,10,0.7294444444444445,0.681135770234987,0.8117464021781408,0.7407275953859804,0.06666666666666667,5.204444444444444,0.7294444444444445,0.681135770234987,0.8117464021781408,0.7407275953859804,0.06666666666666667,5.204444444444444
ultra_lstm_h08_seq14_f6,8,14,reduced,baseline,,,10,64,0.001,6,"['sale_amount', 'stock_hour6_22_cnt', 'discount', 'holiday_flag', 'hours_sale_sum', 'hours_stock_status_sum']",728,900,225,0.6092592592592593,0.161591209000008,0.001365249999992102,0.006067777777742675,10,0.6557407407407407,0.6322436849925706,0.661999222092571,0.6467794033821015,0.0,6.226666666666667,0.6557407407407407,0.6322436849925706,0.661999222092571,0.6467794033821015,0.0,6.226666666666667
ultra_lstm_h16_seq14_f4,16,14,minimal,baseline,,,10,64,0.001,4,"['sale_amount', 'stock_hour6_22_cnt', 'hours_sale_sum', 'hours_stock_status_sum']",1816,900,225,0.6092592592592593,0.18596100000000604,0.0016182500000070377,0.007192222222253501,10,0.7383333333333333,0.6940348525469169,0.8055231427460132,0.7456345634563456,0.0044444444444444444,5.026666666666666,0.7383333333333333,0.6940348525469169,0.8055231427460132,0.7456345634563456,0.0044444444444444444,5.026666666666666
